fifa_rank,team,fifa_points,confederation
1,Argentina,1874.81,CONMEBOL
2,Spain,1876.4,UEFA
3,France,1877.32,UEFA
4,England,1825.97,UEFA
5,Portugal,1763.83,UEFA
6,Brazil,1761.16,CONMEBOL
7,Morocco,1755.87,CAF
8,Netherlands,1757.87,UEFA
9,Belgium,1734.71,UEFA
10,Germany,1730.37,UEFA
11,Croatia,1721.4,UEFA
13,Colombia,1664.2,CONMEBOL
14,Mexico,1661.11,CONCACAF
15,Senegal,1650.5,CAF
16,Uruguay,1648.3,CONMEBOL
17,USA,1642.59,CONCACAF
18,Japan,1621.88,AFC
19,Switzerland,1617.24,UEFA
21,Iran,1613.96,AFC
22,Turkey,1600.03,UEFA
23,Ecuador,1597.4,CONMEBOL
24,Austria,1570.2,UEFA
25,South Korea,1564.35,AFC
27,Australia,1557.3,AFC
28,Algeria,1546.75,CAF
29,Egypt,1540.2,CAF
30,Canada,1522.44,CONCACAF
31,Norway,1519.8,UEFA
33,Ivory Coast,1500.22,CAF
34,Panama,1497.5,CONCACAF
38,Sweden,1478.4,UEFA
39,Czech Republic,1475.1,UEFA
40,Paraguay,1461.3,CONMEBOL
42,Scotland,1454.8,UEFA
45,DR Congo,1444.2,CAF
46,Tunisia,1441.9,CAF
50,Uzbekistan,1425.26,AFC
56,Iraq,1409.6,AFC
57,Qatar,1407.3,AFC
60,South Africa,1395.15,CAF
61,Saudi Arabia,1392.4,AFC
63,Jordan,1380.75,AFC
64,Bosnia & Herzegovina,1375.4,UEFA
67,Cape Verde,1364.5,CAF
73,Ghana,1342.1,CAF
82,Curaçao,1311.5,CONCACAF
83,Haiti,1309.2,CONCACAF
85,New Zealand,1301.1,OFC
