home,away,stage,group,lh,la
Mexico,South Africa,Group,Group A,2.4950779631521587,0.5742948334819646
South Korea,Czech Republic,Group,Group A,1.742704886892441,1.1049644123315325
Czech Republic,South Africa,Group,Group A,1.6252729556222412,1.0552575060252725
Mexico,South Korea,Group,Group A,2.0186437903631136,0.8208806625041638
Czech Republic,Mexico,Group,Group A,1.0958696804665342,1.6412879285747224
South Africa,South Korea,Group,Group A,1.0685376217204814,1.6675315066298748
Canada,Bosnia & Herzegovina,Group,Group B,2.3377179374036707,0.6417014026937387
Qatar,Switzerland,Group,Group B,0.912096182369524,1.9934837166716863
Switzerland,Bosnia & Herzegovina,Group,Group B,2.1872207955248966,0.8504820973270557
Canada,Qatar,Group,Group B,2.4964736145465514,0.5829767970291841
Switzerland,Canada,Group,Group B,1.5837305280961864,1.1859498189995876
Bosnia & Herzegovina,Qatar,Group,Group B,1.7040581952718177,1.1184667238372594
Brazil,Morocco,Group,Group C,1.7643535220631503,1.2067689543805167
Haiti,Scotland,Group,Group C,1.2656169735463563,1.4557386133173547
Scotland,Morocco,Group,Group C,1.1236394996766206,1.557721147216571
Brazil,Haiti,Group,Group C,2.358161978967229,0.8328788369912457
Scotland,Brazil,Group,Group C,0.9812993389551871,1.5983575361136755
Morocco,Haiti,Group,Group C,2.0339583511870947,0.8788189800290749
United States,Paraguay,Group,Group D,1.4360070536918137,1.0748137307481131
Australia,Turkey,Group,Group D,1.3455559345137469,1.3681932887900417
United States,Australia,Group,Group D,1.4504770349368805,1.0729779062969165
Turkey,Paraguay,Group,Group D,1.5338711085467787,1.199719008086935
Turkey,United States,Group,Group D,1.836798059706173,0.9985581639074366
Paraguay,Australia,Group,Group D,1.545535727960416,1.208762112490987
Germany,Curaçao,Group,Group E,1.9905044640298675,0.7037576880092914
Ivory Coast,Ecuador,Group,Group E,1.1486291252195693,1.678314980746314
Germany,Ivory Coast,Group,Group E,1.8187484694152154,0.9912655842544917
Ecuador,Curaçao,Group,Group E,2.442316672854205,0.6772879129338589
Curaçao,Ivory Coast,Group,Group E,1.0551085224239904,1.6684644561351325
Ecuador,Germany,Group,Group E,1.4233725525272525,1.2029362209265668
Netherlands,Japan,Group,Group F,1.5818684833747323,1.224891150944717
Sweden,Tunisia,Group,Group F,1.4312121018587516,1.220179587166843
Netherlands,Sweden,Group,Group F,1.6204016698593184,0.8078683901394563
Tunisia,Japan,Group,Group F,1.0724941309502818,1.7870004667945443
Japan,Sweden,Group,Group F,1.9204434794506549,0.8611262249023233
Tunisia,Netherlands,Group,Group F,1.0419636650631774,1.64877251937997
Belgium,Egypt,Group,Group G,1.7406243600935056,1.081508452292631
Iran,New Zealand,Group,Group G,1.916527016280528,0.9445450822210384
Belgium,Iran,Group,Group G,1.6613157761574495,1.2201672143489266
New Zealand,Egypt,Group,Group G,1.3038932166587465,1.453036610590406
Egypt,Iran,Group,Group G,1.321510841015883,1.3965044938453341
New Zealand,Belgium,Group,Group G,1.0485176127090938,1.6879814323051852
Spain,Cape Verde,Group,Group H,2.741967745329379,0.6434775117687399
Saudi Arabia,Uruguay,Group,Group H,0.9979600235746221,1.6964429268810355
Spain,Saudi Arabia,Group,Group H,2.580106481003277,0.6714628615411219
Uruguay,Cape Verde,Group,Group H,1.973434999383195,0.835507524037837
Cape Verde,Saudi Arabia,Group,Group H,1.36513405621785,1.2803602391923632
Uruguay,Spain,Group,Group H,1.115447985876158,1.634843500962389
France,Senegal,Group,Group I,1.780175052412177,1.0392717398222802
Iraq,Norway,Group,Group I,1.1401189967990035,1.549203565895367
France,Iraq,Group,Group I,2.180469944668773,0.8602819651894758
Norway,Senegal,Group,Group I,1.4878987100741718,1.2315587290290144
Norway,France,Group,Group I,1.1732671028521358,1.580008982713899
Senegal,Iraq,Group,Group I,1.8854006385148407,1.0606162175165115
Argentina,Algeria,Group,Group J,2.085246423969056,0.858214206924252
Austria,Jordan,Group,Group J,1.6795699830480673,1.11846433681342
Argentina,Austria,Group,Group J,2.105676983186323,0.7617713258330155
Jordan,Algeria,Group,Group J,1.297546501007584,1.4547740392844069
Algeria,Austria,Group,Group J,1.561626852257667,1.1236004462222058
Jordan,Argentina,Group,Group J,0.8794123825669776,1.9578665310255328
Portugal,DR Congo,Group,Group K,2.036053752355834,0.8449325694135815
Uzbekistan,Colombia,Group,Group K,1.1083858932997743,1.6547148933126918
Portugal,Uzbekistan,Group,Group K,1.7338705240711882,0.8997450255498021
Colombia,DR Congo,Group,Group K,2.105025948378793,0.8288145058337373
Colombia,Portugal,Group,Group K,1.3321195506680061,1.2367424908151645
DR Congo,Uzbekistan,Group,Group K,1.4009295952988592,1.3464405544622418
England,Croatia,Group,Group L,1.4644353342456347,1.1166013176100404
Ghana,Panama,Group,Group L,1.1811219808852995,1.8607733885193087
England,Ghana,Group,Group L,2.31958839399417,0.7189644313008752
Panama,Croatia,Group,Group L,1.2429897568285222,1.4676354798592584
Panama,England,Group,Group L,1.1145605854559264,1.3892998289784513
Croatia,Ghana,Group,Group L,2.2880511815250935,0.7294658453804791
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
