Team,Group Stage exit,Round of 32,Round of 16,Quarter-final,Semi-final,Final,Winner
Spain,3.9,96.1,70.7,45.6,27.8,16.9,11.2
Argentina,6.7,93.3,67.9,41.3,28.1,18.4,10.8
France,12.1,87.9,55.9,35.0,21.4,13.0,7.0
Brazil,10.7,89.3,53.5,34.0,17.8,10.5,5.7
Mexico,6.1,93.9,52.9,31.1,17.8,9.9,5.4
Ecuador,11.6,88.4,54.5,33.0,18.5,9.2,4.6
Germany,14.5,85.5,51.5,30.9,17.8,8.5,4.5
Portugal,14.0,86.0,51.8,31.4,15.4,8.5,4.3
Colombia,14.9,85.1,50.0,29.7,15.0,8.1,4.2
England,12.9,87.1,49.8,25.7,12.9,6.9,3.6
Netherlands,15.6,84.4,51.3,25.7,14.5,6.5,3.1
Morocco,20.4,79.5,42.1,24.8,11.8,6.3,3.1
Japan,17.4,82.6,48.9,24.2,13.5,5.8,2.7
Turkey,21.1,78.9,42.0,19.5,9.6,5.0,2.5
Uruguay,17.2,82.8,48.4,25.2,11.7,5.1,2.4
Switzerland,9.9,90.1,43.2,19.5,10.3,4.9,2.3
Croatia,17.0,83.0,44.5,21.5,9.9,4.8,2.1
Belgium,16.7,83.3,46.8,23.1,10.4,4.4,1.9
Norway,29.0,71.0,35.8,17.6,8.8,4.0,1.8
Canada,6.5,93.5,41.8,17.3,8.3,3.9,1.7
South Korea,27.5,72.5,32.2,15.4,7.5,3.5,1.4
Senegal,31.6,68.4,32.9,16.5,8.6,3.8,1.4
Iran,24.8,75.2,38.9,18.6,7.7,3.0,1.3
Paraguay,36.0,64.0,31.6,14.0,5.6,2.8,1.2
Australia,40.2,59.8,28.1,12.2,5.3,2.6,1.2
Algeria,35.0,65.0,30.4,13.5,6.8,3.0,1.1
Austria,42.2,57.8,26.3,10.9,5.0,1.9,0.8
Scotland,40.4,59.6,23.9,11.2,4.3,1.9,0.8
Ivory Coast,36.5,63.5,27.5,12.3,5.6,2.0,0.7
United States,31.1,68.9,28.2,10.4,3.8,1.7,0.7
Panama,28.9,71.1,31.5,12.6,4.7,1.9,0.7
Egypt,37.7,62.3,27.5,11.7,4.5,1.5,0.6
Czech Republic,36.8,63.2,23.7,10.0,4.2,1.6,0.6
Uzbekistan,46.4,53.6,22.4,10.3,3.6,1.5,0.5
Jordan,50.7,49.2,19.1,6.9,2.6,1.0,0.4
Sweden,50.0,50.0,21.4,7.3,2.8,1.0,0.4
Tunisia,48.4,51.6,20.2,6.8,2.6,0.7,0.3
DR Congo,57.4,42.6,15.6,6.0,1.8,0.6,0.3
Iraq,59.1,40.9,15.4,6.1,2.4,0.8,0.2
Haiti,61.1,38.9,12.2,4.6,1.2,0.5,0.2
Saudi Arabia,57.6,42.4,14.5,4.8,1.4,0.4,0.1
Cape Verde,62.5,37.5,12.3,3.7,1.1,0.3,0.1
Bosnia & Herzegovina,53.3,46.7,11.6,3.4,1.1,0.3,0.1
New Zealand,50.9,49.1,18.1,6.4,2.1,0.7,0.1
Curaçao,70.9,29.1,7.9,2.2,0.6,0.1,0.0
Ghana,71.7,28.3,7.4,1.7,0.5,0.1,0.0
South Africa,63.9,36.1,9.9,3.1,1.0,0.2,0.0
Qatar,69.1,30.9,6.1,1.4,0.4,0.1,0.0
