team,elo_rating,fifa_points,fifa_rank,squad_value_eur_m
Algeria,1826.5,1546.75,28,257
Argentina,2073.6,1874.81,1,782
Australia,1839.7,1557.3,27,77
Austria,1807.2,1570.2,24,245
Belgium,1866.4,1734.71,9,548
Bosnia & Herzegovina,1624.3,1375.4,64,152
Brazil,1956.1,1761.16,6,928
Canada,1817.5,1522.44,30,199
Cape Verde,1634.0,1364.5,67,55
Colombia,1946.1,1664.2,13,302
Croatia,1899.7,1721.4,11,387
Curaçao,1557.3,1311.5,82,26
Czech Republic,1739.5,1475.1,39,188
DR Congo,1706.8,1444.2,45,144
Ecuador,1937.8,1597.4,23,369
Egypt,1750.2,1540.2,29,116
England,1960.9,1825.97,4,1360
France,2017.1,1877.32,3,1520
Germany,1921.4,1730.37,10,947
Ghana,1588.2,1342.1,73,235
Haiti,1667.3,1309.2,83,56
Iran,1831.0,1613.96,21,32
Iraq,1716.2,1409.6,56,21
Ivory Coast,1754.6,1500.22,33,522
Japan,1911.3,1621.88,18,271
Jordan,1730.4,1380.75,63,20
Mexico,1898.6,1661.11,14,192
Morocco,1907.3,1755.87,7,448
Netherlands,1915.8,1757.87,8,754
New Zealand,1664.8,1301.1,85,34
Norway,1850.3,1519.8,31,590
Panama,1792.1,1497.5,34,35
Paraguay,1851.5,1461.3,40,154
Portugal,1962.7,1763.83,5,1010
Qatar,1550.6,1407.3,57,20
Saudi Arabia,1665.4,1392.4,61,41
Scotland,1773.0,1454.8,42,170
Senegal,1849.1,1650.5,15,478
South Africa,1624.2,1395.15,60,49
South Korea,1821.6,1564.35,25,139
Spain,2080.2,1876.4,2,1220
Sweden,1722.8,1478.4,38,406
Switzerland,1852.5,1617.24,19,333
Tunisia,1694.4,1441.9,46,70
Turkey,1891.0,1600.03,22,474
United States,1756.1,1642.59,17,386
Uruguay,1891.4,1648.3,16,359
Uzbekistan,1769.2,1425.26,50,85
